0.97,1102.99,5.22341e+06,0x55db60ec7eb0
0.98,1092.79,5.22419e+06,0x55db60ec7eb0
0.99,1082.56,5.22496e+06,0x55db60ec7eb0
1,1072.3,5.22574e+06,0x55db60ec7eb0
1.01,1062.02,5.22651e+06,0x55db60ec7eb0
1.02,1051.73,5.22729e+06,0x55db60ec7eb0
1.03,1041.43,5.22806e+06,0x55db60ec7eb0
1.04,1031.12,5.22884e+06,0x55db60ec7eb0
1.05,1020.81,5.22961e+06,0x55db60ec7eb0
1.06,1010.51,5.23039e+06,0x55db60ec7eb0
1.07,1000.22,5.23116e+06,0x55db60ec7eb0
1.08,989.943,5.23193e+06,0x55db60ec7eb0
1.09,979.682,5.23271e+06,0x55db60ec7eb0
1.1,969.442,5.23348e+06,0x55db60ec7eb0
1.11,959.228,5.23426e+06,0x55db60ec7eb0
1.12,949.042,5.23503e+06,0x55db60ec7eb0
1.13,938.888,5.2358e+06,0x55db60ec7eb0
1.14,928.769,5.23658e+06,0x55db60ec7eb0
1.15,918.689,5.23735e+06,0x55db60ec7eb0
1.16,908.65,5.23813e+06,0x55db60ec7eb0
1.17,898.656,5.2389e+06,0x55db60ec7eb0
1.18,888.708,5.23967e+06,0x55db60ec7eb0
1.19,878.811,5.24045e+06,0x55db60ec7eb0
1.2,868.966,5.24122e+06,0x55db60ec7eb0
1.21,859.175,5.24199e+06,0x55db60ec7eb0
1.22,849.441,5.24277e+06,0x55db60ec7eb0
1.23,839.766,5.24354e+06,0x55db60ec7eb0
1.24,830.153,5.24432e+06,0x55db60ec7eb0
1.25,820.602,5.24509e+06,0x55db60ec7eb0
1.26,811.116,5.24586e+06,0x55db60ec7eb0
1.27,801.697,5.24664e+06,0x55db60ec7eb0
1.28,792.346,5.24741e+06,0x55db60ec7eb0
1.29,783.065,5.24818e+06,0x55db60ec7eb0
1.3,773.854,5.24895e+06,0x55db60ec7eb0
1.31,764.717,5.24973e+06,0x55db60ec7eb0
1.32,755.653,5.2505e+06,0x55db60ec7eb0
1.33,746.664,5.25127e+06,0x55db60ec7eb0
1.34,737.752,5.25205e+06,0x55db60ec7eb0
1.35,728.916,5.25282e+06,0x55db60ec7eb0
1.36,720.159,5.25359e+06,0x55db60ec7eb0
1.37,711.481,5.25437e+06,0x55db60ec7eb0
1.38,702.882,5.25514e+06,0x55db60ec7eb0
1.39,694.364,5.25591e+06,0x55db60ec7eb0
1.4,685.927,5.25668e+06,0x55db60ec7eb0
1.41,677.572,5.25746e+06,0x55db60ec7eb0
1.42,669.3,5.25823e+06,0x55db60ec7eb0
1.43,661.11,5.259e+06,0x55db60ec7eb0
1.44,653.004,5.25977e+06,0x55db60ec7eb0
1.45,644.981,5.26055e+06,0x55db60ec7eb0
1.46,637.042,5.26132e+06,0x55db60ec7eb0
1.47,629.188,5.26209e+06,0x55db60ec7eb0
1.48,621.417,5.26286e+06,0x55db60ec7eb0
1.49,613.732,5.26363e+06,0x55db60ec7eb0
1.5,606.131,5.26441e+06,0x55db60ec7eb0
1.51,598.616,5.26518e+06,0x55db60ec7eb0
1.52,591.185,5.26595e+06,0x55db60ec7eb0
1.53,583.839,5.26672e+06,0x55db60ec7eb0
1.54,576.578,5.26749e+06,0x55db60ec7eb0
1.55,569.401,5.26826e+06,0x55db60ec7eb0
1.56,562.31,5.26904e+06,0x55db60ec7eb0
1.57,555.303,5.26981e+06,0x55db60ec7eb0
1.58,548.38,5.27058e+06,0x55db60ec7eb0
1.59,541.541,5.27135e+06,0x55db60ec7eb0
1.6,534.787,5.27212e+06,0x55db60ec7eb0
1.61,528.115,5.27289e+06,0x55db60ec7eb0
1.62,521.528,5.27367e+06,0x55db60ec7eb0
1.63,515.023,5.27444e+06,0x55db60ec7eb0
1.64,508.601,5.27521e+06,0x55db60ec7eb0
1.65,502.261,5.27598e+06,0x55db60ec7eb0
1.66,496.003,5.27675e+06,0x55db60ec7eb0
1.67,489.826,5.27752e+06,0x55db60ec7eb0
1.68,483.73,5.27829e+06,0x55db60ec7eb0
1.69,477.715,5.27906e+06,0x55db60ec7eb0
1.7,471.78,5.27983e+06,0x55db60ec7eb0
